100,13,102,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
100,13,102,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
111,112,113,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
90,90,91,0,0,0,1,90,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
13,13,102,0,0,0,100,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
106,13,102,0,0,0,100,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,
117,13,116,90,90,90,117,13,28,90,90,90,90,90,91,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
112,112,112,18,13,101,101,101,101,101,101,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,
90,90,91,100,13,101,101,101,101,101,101,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,13,0,0,
13,13,102,100,13,13,101,101,101,101,101,13,0,13,0,0,0,0,0,0,13,13,0,13,0,0,0,0,0,0,
106,13,102,100,13,101,101,101,101,101,101,105,112,112,112,0,13,13,13,0,0,13,0,0,0,0,0,0,0,0,
100,13,102,100,13,105,106,13,101,101,101,102,0,13,0,13,0,0,0,13,0,0,0,0,0,0,13,0,0,0,
100,13,102,100,13,102,100,101,101,101,101,102,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,
111,112,113,111,112,113,111,112,112,112,112,113,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,
13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,
13,13,13,13,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,
13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,13,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#texture .\assets\textures\tileSheet.png
#tileW 16
#tileH 16
#gridW 30
#gridH 30
