0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
1,1,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,
1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,3,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
0,0,1,0,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,0,3,3,1,1,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
1,1,1,1,0,1,1,1,1,3,3,0,0,0,0,1,0,0,0,1,1,0,3,0,0,3,0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,
0,0,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,1,1,1,1,3,0,0,0,0,1,1,1,1,0,0,0,0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,
1,1,1,0,1,0,0,1,3,1,0,0,0,1,0,0,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,3,3,3,3,0,3,3,3,3,3,1,0,0,
1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,1,1,0,0,3,1,0,1,0,3,3,0,3,1,0,0,0,0,0,0,0,0,1,0,0,
0,0,1,0,0,0,0,0,3,0,0,1,1,1,1,1,0,1,0,0,3,3,1,1,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,
0,1,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,1,1,3,0,0,0,0,0,0,1,1,0,1,0,0,
1,0,0,1,0,0,0,3,3,3,3,0,1,3,0,3,3,3,3,0,3,1,3,1,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,
0,0,0,0,0,1,1,1,0,0,0,3,3,0,1,1,1,3,0,1,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,
0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,3,0,0,3,1,1,1,1,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,
0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,3,1,3,3,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,
1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,3,0,3,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
0,1,1,0,1,1,0,0,0,0,1,1,0,3,1,0,0,3,3,1,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,3,0,0,0,0,1,1,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
#texture assets/textures/tilemap.png
#tileW 50
#tileH 50
#gridW 42
#gridH 35
